ISBN,book_title,genre
0395366283,Curious George Goes to the Aquarium,Children's Fiction|General
0070434247,China: Its History and Culture,Asia - Civilization|Asian Studies - East Asia - China|General & Miscellaneous Chinese History
2253141453,De l'amour et autres dÃ?Â©mons,Fiction
0425171299,Charmed,Romance fiction
0440508568,What Einstein Didn't Know : Scientific Answers to Everyday Questions,Science|Essays
0786003480,Evil Secrets,Murder|Sex Offenders
0806904305,"Woodworking For Kids: 40 Fabulous, Fun &amp; Useful Things for Kids to Make",Children's Non-Fiction|Crafts & Hobbies
0373273797,In the Dark (Intimate Moments),Fiction|Romance
0517588641,"Sopranos, Mezzos, Tenors, Bassos, and Other Friends",Biographies &amp; Autobiographies|Entertainment & Performing Arts
0374292817,Wonder Tales: Six French Stories of Enchantment,Children's Fiction|Fairy Tales & Folklore
2253145564,"MÃ?Â¨re Teresa, ou, Les miracles de la foi",Missionaries of Charity|Poor--Services for|Poor--Services for--India--Kolkata|Women missionaries|Women missionaries--India--Kolkata--Biography|Nuns|Nuns--India--Kolkata--Biography
1888451165,Adios Muchachos,Mystery & Crime|World Literature|Fiction Subjects|Peoples & Cultures - Fiction
0415098645,The Conquest of Happiness,Literary Collections
0394744551,Apartheid in Crisis,Apartheid|Apartheid--South Africa|Politics and government
059030061X,Unidentified Flying Oddball,Comics &amp; Graphic Novels|Graphic Novels
0060288884,A Series of Unfortunate Events #5: The Austere Academy (A Series of Unfortunate Events),"Baudelaire, Violet (Fictitious character)|Baudelaire, Violet (Fictitious character)--Fiction|Baudelaire, Klaus (Fictitious character)|Baudelaire, Klaus (Fictitious character)--Fiction|Baudelaire, Sunny (Fictitious character)|Baudelaire, Sunny (Fictitious character)--Fiction|Orphans|Orphans--Fiction|Brothers and sisters|Brothers and sisters--Fiction|Boarding schools|Boarding schools--Fiction|Schools|Schools--Fiction|Humorous stories|Orphans--Juvenile fiction|Brothers and sisters--Juvenile fiction|Humorous stories, English|[Fic]"
0140468137,The Food and Cooking of Eastern Europe (Cookery Library),"Cooking, European|Cooking|Cooking--Europe, Eastern"
037321720X,Timeless Love (By Request 2'S) (By Request 2's),Fiction|Romance
0679724141,A Bright Shining Lie: John Paul Vann and America in Vietnam,"Vann, John Paul|OfficersUnited States. Army|Soldiers--Biography|Soldiers--United States--Biography"
0312950853,The Nanny Murder Trial (St. Martin's True Crime Library),Murder - General & Miscellaneous|Crimes & Scandals|True Crime - General & Miscellaneous
0517887835,The Backpacker's Field Manual: A Comprehensive Guide to Mastering Backcountry Skills,"Backpacking--Handbooks, manuals, etc|Camping--Handbooks, manuals, etc|Low-impact camping--Handbooks, manuals, etc"
0874173272,The Maverick Spirit: Building the New Nevada (Wilbur S. Shepperson Series in History and Humanities),History
0811213234,The Selected Poems of Li Po,
006101317X,Blind Judgment : A Gideon Page Novel (Gideon Page Novel),Fiction|Legal
156619024X,Jane Eyre,Literary Collections
014043027X,Three Restoration Comedies Etherege: The Man of Mode/Wycherley/the Country Wife/Congreve/Love for Love (English Library),Literary Collections
0971304521,"Dear Mouse: A Tale of Love, Murder and Movie-Making in the Carolina Mountains",Motion picture actors and actresses|Motion picture actors and actresses--Fiction|Fathers and daughters|Fathers and daughters--Fiction|Mountain life|Mountain life--Fiction|Extortion|Extortion--Fiction
0312868251,The Void Captain's Tale,Women air pilots|Women air pilots--Fiction|Space flight|Space flight--Fiction
0679422765,The Killer Department: Detective Viktor Burakov's Eight-Year Hunt for the Most Savage Serial Killer in Russian History,Serial Killers & Mass Murderers - Biography|Serial Killings & Mass Murders|Criminals - General & Miscellaneous - Biography|Criminology - Sex Crimes|Mental/Psychological Disorder Patients - Biography|Criminals - Murderers - Biography
0786711280,The Woman Who Wouldn't Talk,"McDougal, Susan|Witnesses|Witnesses--United States--Biography|Intimidation|Intimidation--United States--Case studies|Political corruption--History|Politics and government"
006072448X,We Need to Talk About Kevin : A Novel,Fiction|Psychological
0396066410,Stock Car Racing U.S.A.,Automobile Racing|Biography|Juvenile Literature|Automobile Racing Drivers
0140036954,Strange meeting,Literary Collections|English|Irish|Scottish|Welsh
0679880909,James and the Giant Peach: A Children's Story,Fairy Tales
0922233209,Raw Deal: Horrible and Ironic Stories of Forgotten Americans,Victims--Biography|Biography
037324133X,"Princess Gets Engaged  (50th Book) (Harlequin Special Edition, No 1133)",Literary Collections
1931081514,Cinderella Sims,Literary Collections
1865085332,The Artist Is A Thief,"Women painters|Women painters--Fiction|Aboriginal Australians|Aboriginal Australians--Fiction|Artists, Aboriginal Australian|Artists, Aboriginal Australian--Fiction"
0136056687,Music and musicians: An introduction,Music appreciation
0553380478,Bombay Ice,Motion picture producers and directors|Motion picture producers and directors--India--Mumbai--Fiction|British--Travel|British--Travel--India--Mumbai--Fiction|Women journalists|Women journalists--England--Fiction|Sisters|Sisters--India--Mumbai--Fiction|Murder|Murder--India--Mumbai--Fiction
8437604982,La ruta de Don Quijote (Letras hispÃ¡nicas),Literary Criticism
084394501X,Masques,Fiction|General
037379083X,"The Boy Toy (Harlequin Blaze, No 79)",Fiction|Romance
055322509X,The Book of Five Rings (Gorin No Sho): The Real Art of Japanese Management,Antiques & Collectibles
0942688112,Mondo Utah,Mormons--Humor|Mormons--Utah--Humor|American wit and humor|Humor
1565123735,A Company of Three: A Novel,Fiction|Historical
0836279077,The Best of Dear Abby,Conduct of life
2877302709,Vie et passion d'un gastronome chinois,Chinese literature|Gastronomy|Gastronomy--Fiction
0440213320,Deadlock (V.I. Warshawski Novels (Paperback)),Detective Fiction|Women Detectives - Fiction
0330272926,Davo's Little Something,Police|Fiction|Serial Murders
0374235333,The Poetical Cat: An Anthology,Cats|Poetry
0521244285,Players of Shakespeare 1 : Essays in Shakespearean Performance by Twelve Players with the Royal Shakespeare Company (Players of Shakespeare),Royal Shakespeare Company.|Acting|Actors|Actors--England|Theater--History
0517539284,Portrait of the Theatre,Performing arts--Pictorial works|Performing arts--United States--Pictorial works|Entertainers--Portraits|Entertainers--United States--Portraits|Portrait photography
0805010351,Avoiding the Medicaid Trap: How to Beat the Catastrophic Costs of Nursing-Home Care,Security Measures--economics|Nursing Homes--economics|Medicaid
0878100016,The Traffic in Women and Other Essays on Feminism,Women--History|Women--United States--History|Prostitution
0764550632,Sales Closing for Dummies,Selling
067186923X,ARMADILLOS &amp; OLD LACE (Kinky Friedman Novels (Hardcover)),Fiction|General
0312277598,Beautiful Ghosts,"Shan, Tao Yun (Fictitious character)|Shan, Tao Yun (Fictitious character)--Fiction|Buddhist monasteries|Buddhist monasteries--Fiction|Ex-police officers|Ex-police officers--Fiction"
0810920816,Smithsonian Collection of Newspaper Comics,"Comic books, strips, etc|Comic books, strips, etc--United States"
0192836528,"A Vindication Of The Rights Of Men, A Vindication Of The Rights Of Woman: An Historical And Moral View Of The French Revolution (Oxford World's Classics)",Human Rights|Liberty|Women's Rights|Women|Education|History|Causes|Influence
0679403779,Lost Man's River,Fathers and sons|Fathers and sons--Fiction|Frontier and pioneer life--Fiction|Murderers--Fiction|Murder--Fiction
0226204774,Slavery: A Problem in American Institutional and Intellectual Life,Slavery|Slavery--United States|Slaves--Social conditions|Slaves--United States--Social conditions
0140064699,How Life Imitates the World Series (The Penguin sports library),Baseball
1562925474,"Tea Time With God (\Quiet Moments With God\"" Devotional Series)""",Religion|Devotional
0397321651,The Secret Garden,Children's Fiction|Classics
8478808175,"Un veneno llamado amor: De pasiones, celos y muertes (Tiempo de encuentro)",Love
077373323X,Smokescreen: One Man Against the Underworld,Biographies &amp; Autobiographies|General
0375411089,Skinny Dip,Agricultural industries|Agricultural industries--Fiction|Ex-police officers|Ex-police officers--Fiction|Marine scientists|Marine scientists--Fiction|Hazardous wastes|Hazardous wastes--Fiction|Attempted murder|Attempted murder--Fiction|Married people|Married people--Fiction|Suspense fiction
2070375641,Lor De La Republique,Fiction
0933387024,The Last of Tearoom Ladies,Manners and customs|Social life and customs|MinnesotaBiography|MinnesotaSocial life and customs
0688001602,Buried Alive: The Biography of Janis Joplin,"Joplin, Janis|Women singers|Women singers--United States--Biography|Singers|Singers--United States--Biography|Rock musicians|Rock musicians--United States--Biography"
0684864851,Endgame : Solving the Iraq Problem -- Once and For All,Political Science|General
