userID,ISBN,bookRating
2299,0805057706,10
2403,0345342968,9
2413,0679450408,6
2419,0679767800,7
2507,0385424736,9
2507,0811811409,10
2527,0440213320,7
2551,034543739X,7
2591,0316769487,6
2612,0385484518,7
2625,0385484518,8
2672,0374266441,9
2681,0385484518,10
2758,037308935X,8
2789,0399145060,5
2837,0060551895,5
2863,042513525X,5
53,8423322912,5
30,0394895894,8
36,0316769487,9
77,0446527165,8
85,0060915544,10
106,0316769487,7
175,0312312628,9
228,0316769487,10
228,0679410430,10
303,0345358791,5
314,051509465X,9
318,0851707777,9
430,0375726322,8
445,089480829X,10
492,0525237704,7
504,0060915544,10
532,8420444782,4
573,089480829X,7
593,038076735X,7
593,1551666200,9
628,0345342968,10
648,0385484518,8
695,0890876096,8
698,0912365579,10
698,1577310454,10
701,0471485527,10
703,0385424736,7
719,034528710X,10
719,042516540X,8
746,0451455789,9
753,0812579569,7
773,0425052990,4
773,0671795988,7
850,080213825X,5
1115,0385484518,8
1220,044651652X,3
1226,044651652X,10
1343,0312135653,6
1374,0446679763,6
1389,0060915544,8
1389,0679414614,9
1745,042513525X,7
1755,0385484518,8
1865,1558506462,5
1972,0440225639,7
1972,044651652X,7
2150,042513024X,8
2158,227724113X,2
2202,0060915544,8
2216,0385484518,7
2216,0696010976,6
2216,076110481X,9
2238,0679450408,4
2326,006019295X,7
2326,0345342968,8
2326,0553801945,8
2326,1563898586,8
2326,1573222127,8
2335,0060915544,9
2335,0385484518,10
2338,0385484518,6
2338,0679404864,8
2338,156833186X,5
2497,0375406182,9
2511,0006372570,5
2573,0345342968,10
2573,089480829X,7
2573,1856975770,10
2588,0380978954,8
2588,0671727184,7
2607,080213825X,6
2619,0375410198,10
2655,0345342968,8
2661,0807115258,5
2692,0316769487,3
2728,044021632X,5
2775,0316769487,7
2785,0399138013,8
2795,0922233209,7
2796,080213825X,8
2836,0670272663,10
2865,0684868865,8
14,044651652X,5
18,080213825X,8
22,0060915544,9
28,0060192704,10
59,1573222127,8
134,0864693257,7
166,0440505941,7
166,0679723439,8
191,089480829X,8
191,1555971148,8
212,0316769487,8
247,2226116745,8
278,0316602051,7
332,0679413138,10
349,0812579569,8
484,0938317288,5
586,051513306X,8
660,0385484518,10
664,0316769487,3
725,0807072125,8
739,156931778X,10
739,1591161258,10
771,0060915544,9
867,0688169082,5
898,076530418X,10
917,0671016733,8
1116,1555971148,5
1117,0679449434,8
1148,0316769487,9
1176,0060915544,10
1184,0515133620,8
1198,0043720455,8
1198,0060005424,10
1198,0061032069,8
1198,0064406768,10
1198,006621288X,10
1198,0070531811,5
1198,014024669X,6
1198,034543739X,10
1198,0374292817,7
1198,0375406182,8
1198,0375422188,9
1198,038079005X,8
1198,0385424736,8
1198,0385484518,9
1198,039304632X,7
1198,0394587618,8
1198,0395353009,8
1198,042511984X,8
1198,042513525X,8
1198,0425148297,10
1198,044100508X,8
1198,0441225497,5
1198,044651652X,8
1198,0446527165,9
1198,044661064X,10
1198,0449211673,3
1198,0451455789,8
1198,0486270661,10
1198,0517704927,7
1198,0525237704,10
1198,0525467696,8
1198,0590877437,5
1198,067102096X,10
1198,0671556029,10
1198,067187263X,7
1198,0679450408,9
1198,080213825X,3
1198,0811811409,10
1198,081257995X,8
1198,0812694333,7
1198,082890491X,7
1198,086272807X,7
1198,140003163X,5
1198,1551664364,8
1198,1562925474,8
1198,156326255X,7
1198,1565122763,9
1198,1575666243,8
1198,3462015117,6
1198,8408033700,7
1198,8437604184,9
1210,089480829X,10
1358,067086014X,4
1363,055358183X,10
1382,0679405283,8
1390,0385484518,10
1466,0679446028,6
1513,0060915544,9
1513,0394895894,7
1513,0801487722,10
1513,157145165X,10
1523,044651652X,9
1539,0688160999,7
1579,0679405283,5
1624,042513024X,9
1639,325721605X,7
1639,3421051496,7
1689,0316769487,9
1696,006109515X,3
1775,039304632X,7
1837,0345342968,5
1885,0590483455,8
1896,0385484518,10
1896,042513525X,8
1896,044651652X,8
1901,042514755X,6
1973,0060005424,8
2001,0316769487,9
2001,0345342968,10
2001,0385484518,10
2001,089480829X,6
2001,1558530185,9
2030,0425148297,8
2058,0316769487,9
2091,0520011775,10
2091,185566089X,5
2098,0449205061,9
2160,067102096X,5
2165,0140157352,9
2180,1586420232,7
2195,0609809431,8
2196,055320663X,8
2207,044651652X,7
2207,0821757032,8
2220,0316769487,8
2220,0811811409,10
2425,089480829X,8
2471,0316769487,5
2478,0030635543,3
2478,0451184165,5
2563,0425148297,8
2580,059029542X,8
2601,0345342968,10
2609,156619024X,10
2683,2253172677,8
2802,0596003323,8
2809,0609809431,7
2858,0891041842,7
25,0345358791,8
42,0060915544,8
55,080213825X,2
60,067086014X,1
88,0385482485,8
88,0399137173,9
144,0060163747,8
144,0060192704,8
144,0316769487,8
144,0345342968,8
144,034543739X,8
144,0395689961,9
144,044651652X,9
144,055358412X,9
144,068982954X,5
144,0736401245,5
144,0803718276,5
144,0812930347,7
144,1883953154,7
164,0446527165,8
183,0399150439,10
185,037540273X,8
204,0030604176,5
214,0385335849,8
219,0060915544,10
219,0812694333,10
238,2070754790,9
243,0060915544,7
279,0679772871,10
281,0316769487,6
281,0520011775,9
299,0345402030,6
415,044661064X,7
456,0374281866,1
463,0061032069,5
527,1559638095,7
546,0316769487,9
546,0385484518,8
546,044651652X,9
580,0316769487,3
612,038529932X,8
612,044651652X,9
663,0140064699,6
874,0679419454,7
926,042513525X,8
945,0316769487,8
947,0316769487,8
960,044651652X,7
1033,0345342968,10
1087,0385484518,10
1099,0345342968,8
1108,034543739X,5
1108,0970908474,7
1154,0385315023,8
1154,0385484518,9
1166,0345342968,10
1270,0446527165,9
1301,8836807356,9
1325,1560255153,10
1330,0060915544,9
1395,089480829X,10
1475,0316769487,10
1555,1550502654,8
1611,1854592726,8
1630,0060915544,8
1633,0060915544,8
1633,0375503862,6
1666,0698119738,6
1677,044100931X,9
1714,0316769487,7
1754,0345342968,7
1759,089480829X,1
1805,0345342968,8
1805,156619024X,9
1826,0374266441,6
1839,002037500X,7
1839,0345342968,8
1839,0374266441,6
1839,0385484518,8
1839,0688039693,5
1839,0812930347,8
1853,0899062857,9
1866,044651652X,10
1994,0812694333,4
2045,0764535757,9
2179,0316769487,2
2179,0345342968,10
2203,014028124X,7
2211,0345342968,8
2212,0316769487,10
2212,0385484518,10
2271,0060915544,8
2343,042513525X,2
2443,0373033400,7
2443,080376734X,10
2544,0385265204,9
2544,0385484518,10
2567,0670875678,7
2577,0743469887,8
2598,0060201851,9
2598,0195065107,10
2598,0525947965,7
2598,055337320X,10
2611,0345342968,10
2632,067086014X,8
2633,0226816273,10
2633,0345342968,9
2633,0385324073,10
2633,0553372882,10
2633,0870031279,9
2641,014024669X,8
2641,0140430997,6
2641,0393979261,9
2641,0440213320,9
2641,068803487X,8
2641,156731161X,7
2641,1854710486,7
2658,0399145060,8
2764,0806947241,8
2780,0253372658,7
2845,0316769487,3
2,1888451165,8
15,0840748493,8
15,1591856132,8
17,044651652X,6
21,0802482422,10
23,0394569644,7
26,089659419X,8
61,0345341228,7
199,0306806444,10
203,0375406182,6
274,039551083X,10
296,0425196216,8
313,0385484518,10
320,0002211890,8
331,038529932X,6
338,0671883402,9
343,0385424736,4
371,0517887835,9
371,0916179516,10
438,0002245663,8
441,0895772280,7
473,0060005424,9
488,0316602051,5
488,0785315926,5
495,0060915544,9
521,0060915544,10
521,0385484518,10
652,0679404864,10
670,038097570X,5
670,1576730743,5
687,042514755X,8
687,0806506490,10
692,030712908X,10
692,051720679X,10
704,042513024X,8
790,0060203889,6
793,0316602051,7
871,0590877437,10
884,0679449434,5
891,0679419454,9
963,0316769487,10
1013,081673691X,10
1044,031023493X,10
1062,0060005424,8
1135,0805057706,9
1147,0385424736,5
1197,0140157352,10
1227,042511984X,5
1240,0385484518,9
1258,0399148906,6
1271,0448095076,8
1272,0385484518,10
1303,0590877437,7
1355,0375410198,7
1359,0801330734,6
1387,0060002069,8
1387,0316769487,10
1403,0385484518,5
1403,044651652X,10
1403,0881503657,6
1403,1558506462,10
1411,044651652X,10
1445,042514755X,6
1518,0874775388,9
1529,0345342968,5
1636,0345342968,9
1657,089480829X,10
1695,226403176X,9
1703,0345342968,8
1712,042513525X,5
1746,0380767597,9
